[[20134393, [1, -4, -4, 10, 4, -6, -1, 1]],
 [110251433, [1, -7, -5, 14, 5, -7, -1, 1]],
 [110921461, [1, 2, -17, 15, 8, -8, -1, 1]],
 [112831453, [1, -4, -5, 11, 6, -8, -1, 1]],
 [112873193, [-1, -2, 6, 10, -5, -8, 0, 1]],
 [113269137, [1, -7, 3, 15, -2, -8, 0, 1]],
 [114059549, [-1, -12, -8, 19, 6, -8, -1, 1]],
 [114075673, [1, -1, -9, 2, 11, -3, -3, 1]],
 [114477761, [1, 3, -12, 1, 14, -4, -3, 1]],
 [117757033, [-1, -3, 4, 15, 2, -8, -1, 1]],
 [117806905, [5, -11, -10, 19, 6, -8, -1, 1]],
 [118768997, [1, 1, -15, 5, 13, -6, -2, 1]],
 [118870813, [-4, -13, 7, 20, -3, -9, 0, 1]],
 [118892393, [-5, -16, -3, 20, 5, -8, -1, 1]],
 [119084961, [1, -6, -6, 14, 5, -7, -1, 1]],
 [119292949, [-1, -6, -5, 12, 8, -6, -2, 1]],
 [119605529, [1, 0, -9, 0, 12, -3, -3, 1]],
 [120077752, [-1, -9, -5, 16, 5, -8, -1, 1]],
 [120230212, [2, -10, 0, 17, -1, -8, 0, 1]],
 [120275469, [2, -3, -14, 5, 16, -5, -3, 1]],
 [120299213, [7, -8, -16, 15, 9, -8, -1, 1]],
 [120919849, [1, 2, -10, -2, 13, -3, -3, 1]],
 [124666793, [1, -4, -7, 11, 9, -6, -2, 1]],
 [124893376, [1, -1, -8, 10, 8, -8, -1, 1]],
 [125439409, [1, 3, -8, -9, 18, -4, -3, 1]],
 [125834753, [-1, -5, 3, 13, -1, -7, 0, 1]],
 [126039593, [3, -7, -7, 14, 5, -7, -1, 1]],
 [126123101, [1, 1, -11, 7, 11, -8, -1, 1]],
 [126284149, [1, -15, -9, 20, 6, -8, -1, 1]],
 [126993449, [1, -6, -8, 12, 8, -8, -1, 1]],
 [128513177, [-3, -11, 6, 18, -2, -8, 0, 1]],
 [129629693, [1, -1, -8, 8, 8, -7, -1, 1]],
 [129673145, [5, 5, -22, 1, 16, -4, -3, 1]],
 [130548149, [1, -6, -1, 13, 0, -7, 0, 1]],
 [130696737, [3, -5, -9, 13, 6, -7, -1, 1]],
 [130840257, [3, -6, -7, 13, 5, -7, -1, 1]],
 [132205961, [1, 3, -17, 6, 14, -7, -2, 1]],
 [134317789, [-1, -5, -2, 12, 4, -7, -1, 1]],
 [134407793, [-1, -6, 0, 14, 3, -7, -1, 1]],
 [134589773, [1, 2, -19, 13, 10, -8, -1, 1]],
 [135384281, [9, -9, -20, 15, 12, -7, -2, 1]],
 [135877157, [-4, -10, 5, 20, 1, -9, -1, 1]],
 [136997732, [-2, -12, 4, 19, -1, -8, 0, 1]],
 [137185481, [1, -3, -11, 12, 7, -7, -1, 1]],
 [138031669, [1, -7, -4, 14, 4, -7, -1, 1]],
 [138391873, [-1, -5, 1, 14, 3, -7, -1, 1]],
 [138393961, [5, -3, -16, 8, 12, -6, -2, 1]],
 [139439152, [-1, 10, -26, 17, 10, -9, -1, 1]],
 [140955709, [2, -5, -5, 12, 4, -7, -1, 1]],
 [141254637, [1, 2, -8, -7, 17, -4, -3, 1]],
 [141408053, [-1, -5, 2, 12, -1, -7, 0, 1]],
 [141524857, [1, 1, -11, 1, 14, -6, -2, 1]],
 [141863965, [1, -1, -10, 3, 13, -6, -2, 1]],
 [142034745, [3, -21, 2, 26, -2, -10, 0, 1]],
 [142394852, [4, -16, -8, 23, 5, -9, -1, 1]],
 [142933849, [1, 4, -18, 9, 13, -7, -2, 1]],
 [143148924, [4, -8, -11, 16, 10, -7, -2, 1]],
 [143535349, [4, -2, -15, 5, 13, -4, -3, 1]],
 [144038117, [6, -5, -16, 10, 11, -6, -2, 1]],
 [144460969, [1, -5, -1, 12, 0, -7, 0, 1]],
 [145680121, [1, -1, -8, 11, 6, -8, -1, 1]],
 [145993357, [-4, -14, -3, 19, 5, -8, -1, 1]],
 [147049181, [-1, -6, -5, 13, 6, -8, -1, 1]],
 [147702417, [-1, -6, -4, 14, 9, -9, -1, 1]],
 [148161481, [-1, 7, -11, -9, 20, -5, -3, 1]],
 [148466153, [1, -5, -3, 12, 3, -7, -1, 1]],
 [149324209, [1, -3, -5, 11, 8, -6, -2, 1]],
 [150290929, [-1, -5, 0, 16, 5, -8, -1, 1]],
 [150988412, [2, -6, -9, 12, 9, -6, -2, 1]],
 [152078345, [-1, -3, 4, 13, 0, -8, -1, 1]],
 [152173433, [1, -7, -7, 13, 6, -7, -1, 1]],
 [153034553, [1, 3, -16, 3, 14, -4, -3, 1]],
 [153113897, [-1, -10, 0, 17, 0, -8, 0, 1]],
 [153233084, [1, -7, 0, 16, -1, -8, 0, 1]],
 [153552688, [1, 5, -19, 6, 13, -6, -2, 1]],
 [154050496, [1, -1, -9, 13, 6, -8, -1, 1]],
 [154134224, [1, -1, -11, 6, 11, -6, -2, 1]],
 [155205412, [-1, -6, -2, 14, 4, -7, -1, 1]],
 [155333693, [1, 1, -10, 0, 12, -3, -3, 1]],
 [155944249, [-1, -4, 2, 12, 0, -8, -1, 1]],
 [156104017, [1, 0, -15, 9, 11, -6, -2, 1]],
 [156519164, [4, -12, -7, 19, 5, -8, -1, 1]],
 [156644921, [-1, -6, 3, 17, -1, -8, 0, 1]],
 [156966649, [1, 0, -10, 10, 7, -7, -1, 1]],
 [157512697, [1, 0, -11, 2, 14, -5, -3, 1]],
 [158439593, [-1, -5, -1, 15, 0, -8, 0, 1]],
 [158891833, [5, -6, -14, 11, 10, -6, -2, 1]],
 [159049881, [1, 2, -8, -6, 19, -5, -3, 1]],
 [159516145, [1, 4, -22, 0, 19, -5, -3, 1]],
 [159543849, [3, -6, -14, 10, 11, -6, -2, 1]],
 [160359777, [1, 2, -12, 5, 12, -6, -2, 1]],
 [160481173, [-1, -6, -5, 11, 8, -7, -2, 1]],
 [161166105, [1, -2, -8, 7, 13, -7, -2, 1]],
 [161681641, [1, -4, -4, 15, 0, -8, 0, 1]],
 [161748817, [-1, -9, -15, 8, 15, -5, -3, 1]],
 [161982461, [-1, -2, 7, 14, -3, -8, 0, 1]],
 [162568573, [1, -1, -18, 15, 9, -8, -1, 1]],
 [163217701, [4, -6, -13, 13, 9, -8, -1, 1]],
 [163218257, [1, -13, -4, 19, 4, -8, -1, 1]],
 [163571365, [-1, -5, -1, 14, 6, -8, -1, 1]],
 [164162332, [2, -4, -9, 13, 6, -7, -1, 1]],
 [164756465, [5, 0, -17, 2, 15, -4, -3, 1]],
 [165106937, [1, 0, -11, 11, 7, -7, -1, 1]],
 [165616793, [1, -2, -9, 4, 11, -4, -3, 1]],
 [165768973, [5, -2, -16, 5, 13, -4, -3, 1]],
 [165986817, [-3, -12, -5, 18, 8, -9, -1, 1]],
 [167227801, [1, -7, -19, 13, 13, -7, -2, 1]],
 [167261749, [-1, 10, -21, -2, 21, -8, -2, 1]],
 [167517397, [2, -5, -10, 11, 9, -8, -1, 1]],
 [167864241, [1, -4, -9, 11, 7, -7, -1, 1]],
 [168916901, [-1, -2, 9, 16, -2, -8, 0, 1]],
 [168985744, [1, 0, -10, 7, 11, -6, -2, 1]],
 [169096381, [1, -4, -3, 13, 4, -7, -1, 1]],
 [169185089, [9, -14, -15, 24, 7, -10, -1, 1]],
 [169352057, [3, 2, -18, 6, 13, -6, -2, 1]],
 [169560089, [-1, -5, -1, 12, 3, -7, -1, 1]],
 [169622049, [1, 1, -15, 12, 12, -7, -2, 1]],
 [169820669, [1, -5, -6, 12, 6, -7, -1, 1]],
 [170080720, [2, -14, -6, 20, 5, -8, -1, 1]],
 [170765865, [-1, -7, -6, 17, 6, -8, -1, 1]],
 [171553549, [2, -1, -10, 6, 11, -6, -2, 1]],
 [171682273, [-1, -4, 1, 14, 5, -8, -1, 1]],
 [171817769, [1, -4, -3, 11, 3, -7, -1, 1]],
 [172145621, [-2, -5, 15, 21, -4, -9, 0, 1]],
 [172345121, [-1, -7, -10, 11, 12, -7, -2, 1]],
 [173349952, [2, -1, -12, 5, 12, -6, -2, 1]],
 [173718173, [1, 6, -18, -1, 21, -6, -3, 1]],
 [174187096, [1, -4, -7, 11, 8, -6, -2, 1]],
 [174368473, [1, -4, -8, 9, 10, -6, -2, 1]],
 [174751145, [1, 5, -25, 15, 12, -9, -1, 1]],
 [175422837, [-1, -4, 3, 12, -1, -7, 0, 1]],
 [175929793, [5, -13, -19, 16, 12, -7, -2, 1]],
 [176256933, [2, -3, -8, 11, 6, -7, -1, 1]],
 [176622892, [-2, -10, 3, 18, -1, -8, 0, 1]],
 [176665381, [-2, -9, 7, 18, -2, -8, 0, 1]],
 [177548993, [1, -3, -13, 7, 12, -6, -2, 1]],
 [177761649, [1, -6, -19, 5, 17, -5, -3, 1]],
 [178799897, [1, -3, -9, 7, 10, -6, -2, 1]],
 [179711353, [4, -8, -9, 16, 6, -8, -1, 1]],
 [179996273, [1, -3, -4, 11, 6, -8, -1, 1]],
 [180093409, [-1, -8, 6, 17, -2, -8, 0, 1]],
 [180134821, [1, 1, -10, 5, 11, -6, -2, 1]],
 [180612209, [1, -4, -1, 13, -1, -8, 0, 1]],
 [180954601, [-3, -10, -1, 18, 4, -9, -1, 1]],
 [181815209, [1, -6, -7, 12, 6, -7, -1, 1]],
 [183195393, [-3, -15, 5, 22, -2, -9, 0, 1]],
 [183863281, [-1, -6, -4, 16, 4, -8, -1, 1]],
 [184035564, [2, 0, -13, 5, 13, -4, -3, 1]],
 [184420361, [3, -5, -12, 12, 9, -8, -1, 1]],
 [184488041, [1, -4, -10, 6, 12, -4, -3, 1]],
 [185560477, [2, -3, -9, 8, 10, -6, -2, 1]],
 [185698501, [-7, -16, 10, 24, -2, -9, 0, 1]],
 [185786944, [1, -5, -7, 13, 9, -9, -1, 1]],
 [186254025, [1, -3, -15, 8, 15, -5, -3, 1]],
 [186832669, [1, -7, -5, 18, 5, -8, -1, 1]],
 [187391161, [-1, 11, -20, -1, 16, -4, -3, 1]],
 [187432237, [-2, -5, 6, 18, 2, -8, -1, 1]],
 [187501381, [2, -7, -8, 13, 6, -7, -1, 1]],
 [189424073, [-1, -5, -1, 13, 4, -7, -1, 1]],
 [189570517, [1, -1, -10, 11, 7, -7, -1, 1]],
 [189748901, [-3, -13, 4, 19, -1, -8, 0, 1]],
 [190046581, [1, -1, -15, 9, 11, -6, -2, 1]],
 [190058721, [3, -12, -7, 18, 5, -8, -1, 1]],
 [190128472, [-2, -4, 7, 12, -6, -9, 0, 1]],
 [190327349, [4, -15, -10, 20, 6, -8, -1, 1]],
 [191162437, [-2, -9, -4, 17, 8, -9, -1, 1]],
 [191396944, [4, -3, -15, 6, 13, -4, -3, 1]],
 [191441869, [1, 0, -10, 7, 13, -5, -3, 1]],
 [191581921, [-1, -8, -3, 14, 4, -7, -1, 1]],
 [191924425, [1, -1, -11, 13, 11, -7, -2, 1]],
 [192100033, [1, -1, -10, 13, 10, -7, -2, 1]],
 [192271153, [1, -5, -9, 13, 6, -7, -1, 1]],
 [192324169, [-1, 8, -18, 7, 13, -7, -2, 1]],
 [193250913, [3, -9, -2, 16, 0, -8, 0, 1]],
 [194141653, [1, 9, -21, 0, 16, -4, -3, 1]],
 [194921381, [1, -3, -8, 8, 10, -5, -3, 1]],
 [195302797, [4, -3, -16, 10, 11, -6, -2, 1]],
 [195402489, [1, -8, -10, 12, 9, -6, -2, 1]],
 [195476041, [-1, -4, 1, 12, 1, -8, -1, 1]],
 [195507881, [1, 7, -14, -7, 18, -4, -3, 1]],
 [195609152, [2, -4, -10, 10, 10, -6, -2, 1]],
 [195805801, [1, 0, -12, 14, 6, -8, -1, 1]],
 [196058176, [2, 2, -18, 8, 12, -6, -2, 1]],
 [197276649, [1, -1, -8, 8, 10, -6, -2, 1]],
 [198180313, [1, 3, -18, 14, 9, -8, -1, 1]],
 [199871953, [-1, -5, 7, 17, -2, -8, 0, 1]],
 [200018349, [2, -7, -1, 16, 0, -8, 0, 1]],
 [201507145, [1, -2, -19, 7, 15, -5, -3, 1]],
 [201921757, [1, -11, -11, 18, 7, -8, -1, 1]],
 [202782656, [2, -5, -8, 11, 8, -6, -2, 1]],
 [203445849, [1, 1, -16, 3, 14, -4, -3, 1]],
 [204709201, [1, -2, -6, 8, 7, -7, -1, 1]],
 [204815881, [1, -3, -7, 10, 7, -7, -1, 1]],
 [204909928, [1, -2, -8, 15, 6, -8, -1, 1]],
 [205369693, [1, 1, -11, 2, 14, -4, -3, 1]],
 [205383993, [1, -2, -7, 6, 11, -4, -3, 1]],
 [205488133, [2, -3, -13, 10, 10, -6, -2, 1]],
 [205610401, [3, 5, -22, 5, 16, -7, -2, 1]],
 [205959089, [-1, -6, -5, 16, 8, -9, -1, 1]],
 [205978737, [1, -6, -3, 14, 4, -7, -1, 1]],
 [205980641, [-1, -3, 5, 15, -2, -8, 0, 1]],
 [206954341, [-1, -11, -18, 8, 16, -5, -3, 1]],
 [207263032, [2, -4, -11, 8, 11, -6, -2, 1]],
 [207556096, [-4, -9, 6, 17, -2, -8, 0, 1]],
 [207650821, [-4, -15, -7, 18, 9, -7, -2, 1]],
 [209718865, [1, -13, -10, 18, 7, -8, -1, 1]],
 [209905513, [1, -12, 4, 23, -1, -9, 0, 1]],
 [209938493, [-1, 0, 15, 20, -3, -9, 0, 1]],
 [210499909, [1, -3, -4, 10, 4, -7, -1, 1]],
 [212185813, [7, -12, -14, 19, 7, -8, -1, 1]],
 [212581793, [1, -5, -6, 12, 8, -6, -2, 1]],
 [213488993, [1, 0, -12, 8, 11, -6, -2, 1]],
 [213528877, [-4, -2, 23, 22, -7, -10, 0, 1]],
 [213873729, [3, -6, -11, 11, 9, -6, -2, 1]],
 [216051257, [-3, -7, 5, 15, -2, -8, 0, 1]],
 [216957729, [3, -5, -13, 11, 10, -6, -2, 1]],
 [217824137, [-1, -6, -2, 14, 6, -8, -1, 1]],
 [217941401, [-1, -7, 4, 16, -2, -8, 0, 1]],
 [218095121, [1, -5, -12, 11, 10, -6, -2, 1]],
 [218367568, [5, -7, -20, 13, 13, -7, -2, 1]],
 [218667544, [1, -3, -4, 11, 4, -7, -1, 1]],
 [219123772, [-2, -2, 11, 14, -6, -9, 0, 1]],
 [219854201, [1, 3, -11, -2, 17, -5, -3, 1]],
 [220018329, [9, -3, -25, 6, 17, -5, -3, 1]],
 [220287652, [1, -3, -11, 6, 12, -6, -2, 1]],
 [220822801, [-3, -4, 12, 17, -5, -9, 0, 1]],
 [221904997, [1, -2, -7, 10, 9, -6, -2, 1]],
 [221987821, [-1, -13, -6, 19, 5, -8, -1, 1]],
 [222342689, [1, -2, -6, 8, 7, -6, -2, 1]],
 [222541388, [1, -2, -8, 5, 12, -4, -3, 1]],
 [222985249, [1, -6, -8, 11, 8, -6, -2, 1]],
 [223097209, [7, -8, -16, 15, 11, -7, -2, 1]],
 [223109648, [-1, 12, -32, 17, 12, -9, -1, 1]],
 [223183393, [1, -5, 0, 15, 2, -8, -1, 1]],
 [223206801, [-3, -6, 8, 17, -2, -8, 0, 1]],
 [223462117, [1, 1, -14, 3, 17, -8, -2, 1]],
 [224258357, [-1, -6, -5, 15, 6, -8, -1, 1]],
 [224404481, [1, -7, -1, 16, 0, -9, 0, 1]],
 [225111553, [-1, -8, -8, 12, 9, -6, -2, 1]],
 [225229813, [2, -7, -10, 12, 9, -6, -2, 1]],
 [225746769, [1, -3, -12, 3, 14, -4, -3, 1]],
 [228132361, [-1, -7, -7, 14, 8, -7, -2, 1]],
 [228448996, [1, -2, -6, 10, 6, -7, -1, 1]],
 [228640493, [1, 1, -13, 11, 9, -8, -1, 1]],
 [229963465, [1, 4, -16, 5, 15, -7, -2, 1]],
 [230425589, [9, -11, -17, 18, 8, -8, -1, 1]],
 [230769013, [1, -8, 8, 22, -2, -9, 0, 1]],
 [231645913, [-1, -6, 1, 14, 1, -8, -1, 1]],
 [232503137, [1, 2, -14, 10, 10, -8, -1, 1]],
 [234323497, [-1, -6, -1, 13, 3, -7, -1, 1]],
 [234475793, [1, -1, -17, 8, 15, -5, -3, 1]],
 [234849593, [-1, -4, 6, 16, -1, -8, 0, 1]],
 [234884549, [1, 0, -14, 9, 11, -8, -1, 1]],
 [235046153, [1, -4, -6, 10, 7, -6, -2, 1]],
 [235874401, [1, 5, -25, 9, 15, -7, -2, 1]],
 [236557393, [-5, -11, 7, 23, 2, -9, -1, 1]],
 [236583241, [1, -5, -5, 16, 4, -9, -1, 1]],
 [237000493, [1, -4, -1, 12, 0, -8, 0, 1]],
 [237286001, [1, -2, -6, 9, 8, -6, -2, 1]],
 [237526477, [-1, -6, 13, 22, -3, -9, 0, 1]],
 [237777973, [1, -3, -18, 20, 8, -9, -1, 1]],
 [237837193, [-1, -3, 6, 16, 1, -8, -1, 1]],
 [237923965, [1, -19, 2, 24, -1, -9, 0, 1]],
 [238044473, [-1, 14, -29, 1, 19, -5, -3, 1]],
 [238622544, [-3, -12, -3, 19, 5, -8, -1, 1]],
 [238845553, [1, 2, -15, 5, 15, -9, -1, 1]],
 [239864981, [-1, -3, 5, 17, 3, -8, -1, 1]],
 [241032041, [-1, -8, -2, 16, 4, -8, -1, 1]],
 [241041161, [2, -7, -6, 14, 5, -7, -1, 1]],
 [241620028, [2, -2, -9, 8, 9, -6, -2, 1]],
 [241639873, [-1, -7, -6, 12, 8, -6, -2, 1]],
 [242122313, [-1, -4, 6, 18, 2, -8, -1, 1]],
 [243444669, [3, 0, -14, 3, 13, -4, -3, 1]],
 [243568033, [-1, -4, 2, 16, 5, -9, -1, 1]],
 [244068417, [3, 0, -15, 5, 13, -6, -2, 1]],
 [244348381, [-4, -25, -7, 26, 6, -9, -1, 1]],
 [244566713, [-1, -1, 9, 13, -4, -8, 0, 1]],
 [245427536, [4, 1, -17, 2, 15, -4, -3, 1]],
 [246376213, [-1, 8, -14, -5, 17, -4, -3, 1]],
 [246510052, [-1, 8, -12, -12, 22, -5, -3, 1]],
 [246964813, [1, -1, -8, 10, 6, -7, -1, 1]],
 [247329469, [9, -6, -23, 11, 16, -6, -3, 1]],
 [247449968, [-3, -11, 3, 18, -1, -8, 0, 1]],
 [247461484, [2, -2, -9, 8, 10, -7, -2, 1]],
 [247614744, [-1, -3, 6, 14, -3, -8, 0, 1]],
 [247912869, [9, -15, -23, 24, 11, -10, -1, 1]],
 [248124836, [2, -2, -10, 5, 12, -4, -3, 1]],
 [248939584, [2, -3, -8, 9, 8, -6, -2, 1]],
 [249068773, [1, -5, -20, 19, 10, -9, -1, 1]],
 [250331393, [7, -4, -21, 12, 15, -10, -1, 1]],
 [250873657, [-3, -7, 9, 28, 8, -9, -2, 1]],
 [250948037, [1, -11, 6, 22, -2, -9, 0, 1]],
 [251182636, [1, 4, -16, -1, 16, -4, -3, 1]],
 [251444281, [1, -8, -6, 14, 5, -7, -1, 1]],
 [251679941, [1, -2, -7, 8, 10, -6, -2, 1]],
 [252637545, [1, -7, -13, 14, 10, -7, -2, 1]],
 [253156157, [-4, -22, -13, 22, 11, -8, -2, 1]],
 [253416949, [-4, -6, 13, 21, -3, -9, 0, 1]],
 [253667917, [4, 2, -17, 1, 15, -4, -3, 1]],
 [254173252, [1, -5, -1, 16, 0, -8, 0, 1]],
 [255342369, [1, -4, -5, 13, 5, -7, -1, 1]],
 [256350177, [3, -9, -3, 17, 0, -8, 0, 1]],
 [256559397, [-1, 11, -28, 17, 11, -9, -1, 1]],
 [257591921, [-1, -4, 1, 14, 3, -8, -1, 1]],
 [259395392, [-2, -9, -6, 14, 10, -7, -2, 1]],
 [259397669, [-2, -11, -13, 10, 14, -5, -3, 1]],
 [260035841, [3, -4, -12, 9, 10, -6, -2, 1]],
 [260353636, [-2, -8, -2, 15, 4, -8, -1, 1]],
 [261091865, [1, -10, -8, 19, 10, -8, -2, 1]],
 [261294217, [-1, -4, 5, 18, 3, -8, -1, 1]],
 [261502945, [5, 0, -23, 13, 13, -9, -1, 1]],
 [261601561, [1, -7, -9, 13, 9, -7, -2, 1]],
 [262310577, [-1, -10, 4, 18, -1, -8, 0, 1]],
 [262670449, [1, -4, -9, 11, 13, -5, -3, 1]],
 [263171136, [1, -3, -5, 13, 9, -9, -1, 1]],
 [263565376, [2, 0, -12, 0, 15, -4, -3, 1]],
 [263746156, [1, -4, -11, 9, 10, -6, -2, 1]],
 [263996585, [-1, 8, -16, -4, 19, -5, -3, 1]],
 [264372905, [-5, -20, 1, 26, 4, -9, -1, 1]],
 [264790917, [-1, -5, 4, 17, -1, -8, 0, 1]],
 [265221389, [-2, -11, -5, 18, 6, -9, -1, 1]],
 [265289113, [1, -7, 4, 16, -2, -8, 0, 1]],
 [265400809, [3, 1, -18, 8, 12, -6, -2, 1]],
 [266311817, [1, -5, -5, 12, 6, -7, -2, 1]],
 [266318912, [1, 1, -19, 11, 13, -9, -1, 1]],
 [266342276, [-2, -6, 4, 15, -1, -9, -1, 1]],
 [267578413, [1, 7, -24, 6, 16, -7, -2, 1]],
 [267732065, [-1, -3, 9, 25, 6, -11, -1, 1]],
 [267763929, [3, -3, -14, 6, 13, -4, -3, 1]],
 [267789512, [-1, -2, 9, 13, -8, -10, 0, 1]],
 [267862781, [-1, -7, 12, 20, -4, -9, 0, 1]],
 [268147033, [-1, -2, 6, 12, -3, -8, 0, 1]],
 [268410112, [1, -10, -5, 19, 5, -8, -1, 1]],
 [269223373, [1, -7, 2, 17, -1, -8, 0, 1]],
 [269569537, [1, -9, -9, 16, 10, -7, -2, 1]],
 [269618633, [-1, -3, 5, 18, 5, -9, -1, 1]],
 [269682109, [-1, -20, -8, 25, 6, -9, -1, 1]],
 [269730181, [-1, -10, 17, 27, -4, -10, 0, 1]],
 [269742673, [-1, -12, 4, 24, 3, -9, -1, 1]],
 [270333333, [4, -14, -5, 24, 5, -9, -1, 1]],
 [270335473, [1, 17, -31, -1, 20, -5, -3, 1]],
 [270380696, [2, -5, -6, 13, 5, -7, -1, 1]],
 [270452797, [-2, -7, 4, 19, 3, -8, -1, 1]],
 [270659241, [-1, 10, -25, 14, 12, -9, -1, 1]],
